industry_code,industry_name,subtype_code,subtype_name,activity_code,activity_name,default_pricing_method,rate_unit,oxfordshire_rate_gbp,available_pricing_methods
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.garden_maintenance,Garden maintenance,cena_za_navstevu,GBP/visit,60.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.weeding,Weeding,hodinova_sazba,GBP/h,24.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.border_maintenance,Border maintenance,cena_za_navstevu,GBP/visit,60.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.planting,Planting,hodinova_sazba,GBP/h,30.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.plant_supply,Plant supply,materialova_polozka,at cost,0.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.plant_sourcing,Plant sourcing,hodinova_sazba,GBP/h,30.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.garden_clearance,Garden clearance,cena_za_bulk_bag_skip_nebo_container,GBP/bag-or-skip,84.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.seasonal_garden_cleanup,Seasonal garden cleanup,hodinova_sazba,GBP/h,30.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.spring_preparation,Spring preparation,hodinova_sazba,GBP/h,30.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.autumn_cleanup,Autumn cleanup,hodinova_sazba,GBP/h,30.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.leaf_clearance,Leaf clearance,cena_za_bulk_bag_skip_nebo_container,GBP/bag-or-skip,84.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.shrub_pruning,Shrub pruning,hodinova_sazba,GBP/h,30.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.flower_bed_maintenance,Flower bed maintenance,cena_za_navstevu,GBP/visit,60.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
garden_landscaping_tree_and_outdoor_work,"Garden, Landscaping, Tree And Outdoor Work",garden_landscaping_tree_and_outdoor_work.landscaping,Landscaping,garden_landscaping_tree_and_outdoor_work.landscaping.flower_bed_redesign,Flower bed redesign,hodinova_sazba,GBP/h,42.0,hodinova_sazba|denni_sazba|cena_za_navstevu|cena_za_kus|cena_za_plochu|cena_za_delku|cena_za_objem|cena_za_vahu|cena_za_bulk_bag_skip_nebo_container|fixni_cena|cena_za_balicek|callout_fee|cestovni_poplatek|materialova_polozka|procento|milestone_nebo_stage_payment|subscription_nebo_retainer
