action_name,code_risk_level,capability,capability_status,registry_base_risk,accepted_deviation,note
acknowledge_notification,1,notifications.self.manage,PROPOSED,R1,,
activate_reference_activity,3,catalogue.config.write,PROPOSED,R2,,
add_job_resource,2,jobs.assign,CANONICAL,R2,,
analyze_data_quality,0,analytics.read,PROPOSED,R0,,
approve_device_pairing,3,voice.session.control,PROPOSED,R1,,
archive_assistant_memory,1,knowledge.memory.write,PROPOSED,R1,,
archive_client,3,crm.customer.write,CANONICAL,R2,,
archive_contact,3,crm.customer.write,CANONICAL,R2,,
assign_job,2,jobs.assign,CANONICAL,R2,,
cancel_voice_email_deletion,1,communication.record,PROPOSED,R2,cancel is a no-op safety action,read/prepare mode under a write capability
cancel_voice_gmail_message,1,communication.prepare,PROPOSED,R1,,
cancel_voice_notification_deletion,1,notifications.self.manage,PROPOSED,R1,,
change_invoice_status,4,finance.invoice.issue,CANONICAL,R4,,riskLevel raised to 4 in CP-CODE-001 to match registry
change_job_status,2,jobs.assign,CANONICAL,R2,,
change_own_password,2,identity.self.read,CANONICAL,R0,,
change_quote_status,3,sales.quote.send,CANONICAL,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
check_capacity,0,schedule.view,CANONICAL,R0,,
clear_voice_device_history,,voice.session.control,PROPOSED,R1,,
complete_gmail_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
complete_google_calendar_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
complete_google_contacts_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
complete_google_drive_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
complete_google_photos_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
complete_initial_setup,,catalogue.config.write,PROPOSED,R2,,
confirm_voice_email_deletion,3,communication.record,PROPOSED,R2,,
confirm_voice_gmail_message,3,communication.send,CANONICAL,R3,,
confirm_voice_notification_deletion,2,notifications.self.manage,PROPOSED,R1,,
control_voice_device,,voice.session.control,PROPOSED,R1,,
convert_lead_to_client,2,crm.lead.manage,CANONICAL,R2,,
create_assistant_memory,1,knowledge.memory.write,PROPOSED,R1,,
create_business_context_item,2,knowledge.memory.write,PROPOSED,R1,,
create_candidate,2,recruitment.prepare,PROPOSED,R2,,
create_client,2,crm.customer.write,CANONICAL,R2,,
create_client_from_communication,2,crm.customer.write,CANONICAL,R2,,
create_contact,2,crm.customer.write,CANONICAL,R2,,
create_document_record,2,knowledge.memory.write,PROPOSED,R1,,
create_employee,3,workforce.employee.manage,PROPOSED,R3,,
create_gmail_draft,2,communication.prepare,PROPOSED,R1,,
create_google_photos_picker_session,1,connectors.sync.read,PROPOSED,R0,,
create_industry,2,catalogue.config.write,PROPOSED,R2,,
create_invoice,2,finance.invoice.prepare,PROPOSED,R2,,
create_job,2,jobs.assign,CANONICAL,R2,,
create_job_opening,2,recruitment.prepare,PROPOSED,R2,,
create_lead,2,crm.lead.manage,CANONICAL,R2,,
create_learning_rule,1,knowledge.playbook.write,PROPOSED,R2,proposal only; rules apply after review,read/prepare mode under a write capability
create_playbook,2,knowledge.playbook.write,PROPOSED,R2,,
create_service_catalogue_item,2,catalogue.config.write,PROPOSED,R2,,
create_task,2,knowledge.memory.write,PROPOSED,R1,,
create_website_audit,1,growth.prepare,PROPOSED,R1,,
decide_website_content_proposal,4,growth.decide,PROPOSED,R4,,riskLevel raised to 4 in CP-CODE-001 to match registry
delete_all_notifications,2,notifications.self.manage,PROPOSED,R1,,
delete_gmail_intake,3,communication.record,PROPOSED,R2,,
detect_action_patterns,0,knowledge.playbook.write,PROPOSED,R2,read-only analysis,read/prepare mode under a write capability
detect_overload,0,schedule.view,CANONICAL,R0,,
disable_connector_source,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
disconnect_gmail_source,3,connectors.self.oauth,PROPOSED,R3,,
disconnect_google_calendar_source,3,connectors.self.oauth,PROPOSED,R3,,
disconnect_google_contacts_source,3,connectors.self.oauth,PROPOSED,R3,,
disconnect_google_drive_source,3,connectors.self.oauth,PROPOSED,R3,,
disconnect_google_photos_source,3,connectors.self.oauth,PROPOSED,R3,,
disconnect_whatsapp_source,3,connectors.self.oauth,PROPOSED,R3,,
draft_job_advert,1,recruitment.prepare,PROPOSED,R2,"draft only, no publish",read/prepare mode under a write capability
enable_connector_source,3,connectors.self.oauth,PROPOSED,R3,,
execute_text_command,2,voice.session.control,PROPOSED,R1,,
export_invoice_pdf,1,finance.invoice.prepare,PROPOSED,R2,read-only render of existing invoice,read/prepare mode under a write capability
export_quote_pdf,1,sales.quote.prepare,CANONICAL,R1,,
extract_communication_intake,1,communication.record,PROPOSED,R2,read-only extraction with provenance,read/prepare mode under a write capability
find_photos_for_service,0,growth.prepare,PROPOSED,R1,read-only search,read/prepare mode under a write capability
find_unresolved_enquiries,0,crm.customer.read,CANONICAL,R0,,
get_attention_feed,0,analytics.read,PROPOSED,R0,,
get_metrics_overview,0,analytics.read,PROPOSED,R0,,
get_recruitment_recommendation,0,recruitment.prepare,PROPOSED,R2,read-only recommendation,read/prepare mode under a write capability
import_google_contact,3,crm.customer.write,CANONICAL,R2,,
interpret_voice_request,,voice.session.control,PROPOSED,R1,,
link_industry_service,2,catalogue.config.write,PROPOSED,R2,,
list_reference_activities,0,catalogue.config.read,PROPOSED,R0,,
log_communication,2,communication.record,PROPOSED,R2,,
log_communication_intake,2,communication.record,PROPOSED,R2,,
log_portfolio_photo,1,growth.prepare,PROPOSED,R1,,
merge_clients,3,crm.customer.write,CANONICAL,R2,,
prepare_communication_reply,1,communication.prepare,PROPOSED,R1,,
prepare_quote,2,sales.quote.prepare,CANONICAL,R1,,
prepare_voice_email_deletion,2,communication.record,PROPOSED,R2,,
prepare_voice_gmail_message,2,communication.prepare,PROPOSED,R1,,
prepare_voice_notification_deletion,2,notifications.self.manage,PROPOSED,R1,,
prepare_website_content_proposal,1,growth.prepare,PROPOSED,R1,,
recall_assistant_memory,0,knowledge.memory.read,PROPOSED,R0,,
receive_whatsapp_message,2,communication.record,PROPOSED,R2,,
record_invoice_payment,3,finance.payment.record,CANONICAL,R2,,
register_connector_source,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
register_google_drive_portfolio_photo,3,growth.prepare,PROPOSED,R1,,
register_google_photos_portfolio_photo,3,growth.prepare,PROPOSED,R1,,
reject_inferred_voice_language_change,,voice.session.control,PROPOSED,R1,,
request_password_reset,,identity.self.read,CANONICAL,R0,,
reset_employee_password,3,workforce.employee.manage,PROPOSED,R3,,
reset_password,,identity.self.read,CANONICAL,R0,,
run_playbook,3,knowledge.playbook.run,PROPOSED,R3,,
select_photos_for_service,2,growth.prepare,PROPOSED,R1,,
send_gmail_message,3,communication.send,CANONICAL,R3,,
send_whatsapp_message,3,communication.send,CANONICAL,R3,,
set_communication_intake_resolution,2,communication.record,PROPOSED,R2,,
stage_google_drive_images,1,connectors.sync.read,PROPOSED,R0,,
stage_google_photos_items,1,connectors.sync.read,PROPOSED,R0,,
start_gmail_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
start_google_calendar_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
start_google_contacts_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
start_google_drive_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
start_google_photos_oauth,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
start_realtime_voice_session,,voice.session.control,PROPOSED,R1,,
suggest_schedule,0,schedule.view,CANONICAL,R0,,
sync_gmail_messages,2,connectors.sync.read,PROPOSED,R0,,
sync_google_calendar,2,connectors.sync.read,PROPOSED,R0,,
sync_google_contacts,2,connectors.sync.read,PROPOSED,R0,,
sync_whatsapp_sender_contacts,2,connectors.sync.read,PROPOSED,R0,,
transcribe_voice_command,,voice.session.control,PROPOSED,R1,,
unacknowledge_notification,1,notifications.self.manage,PROPOSED,R1,,
update_business_context_item,2,knowledge.memory.write,PROPOSED,R1,,
update_candidate,2,recruitment.prepare,PROPOSED,R2,,
update_client,2,crm.customer.write,CANONICAL,R2,,
update_communication_record,2,communication.record,PROPOSED,R2,,
update_company_profile,,catalogue.config.write,PROPOSED,R2,,
update_connector_source,3,connectors.self.oauth,PROPOSED,R3,,riskLevel raised to 3 in CP-CODE-001 to match registry
update_contact,2,crm.customer.write,CANONICAL,R2,,
update_document_record,2,knowledge.memory.write,PROPOSED,R1,,
update_emma_behavior_scenario,2,assistant.behaviour.configure,PROPOSED,R2,,
update_emma_company_policy,3,assistant.behaviour.configure,PROPOSED,R2,,
update_employee,3,workforce.employee.manage,PROPOSED,R3,,
update_industry,2,catalogue.config.write,PROPOSED,R2,,
update_industry_service_link,2,catalogue.config.write,PROPOSED,R2,,
update_job_opening,2,recruitment.prepare,PROPOSED,R2,,
update_job_resource,2,jobs.assign,CANONICAL,R2,,
update_learning_rule,1,knowledge.playbook.write,PROPOSED,R2,proposal only,read/prepare mode under a write capability
update_playbook,2,knowledge.playbook.write,PROPOSED,R2,,
update_portfolio_photo,1,growth.prepare,PROPOSED,R1,,
update_quote,2,sales.quote.prepare,CANONICAL,R1,,
update_service_catalogue_item,2,catalogue.config.write,PROPOSED,R2,,
update_task,2,knowledge.memory.write,PROPOSED,R1,,
update_voice_preferences,1,identity.self.read,CANONICAL,R0,,
